restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
KARUR FOOD COURT,Chicken Briyani,,70,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,1,1
KARUR FOOD COURT,Plain Briyani,,60,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,2,2
KARUR FOOD COURT,Nattu Kozhi Briyani,,140,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,3,3
KARUR FOOD COURT,Veg Meals,,70,,,,10,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Meals,,0,,1,4
KARUR FOOD COURT,Chicken Varuval,,90,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,startes,,0,,1,5
KARUR FOOD COURT,Chicken Pallipalayam,,90,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,startes,,0,,2,6
KARUR FOOD COURT,Chicken Gravy,,110,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,startes,,0,,3,7
KARUR FOOD COURT,Chicken 65,,60,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,startes,,0,,4,8
KARUR FOOD COURT,Chilli Chicken,,60,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,startes,,0,,5,9
KARUR FOOD COURT,Nattukozhi Chicken Varuval,,140,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,startes,,0,,6,10
KARUR FOOD COURT,Chicken Lollipop 2pcs,,60,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,startes,,0,,7,11
KARUR FOOD COURT,Egg Podimas,,60,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,startes,,0,,8,1
KARUR FOOD COURT,Chicken Fried Rice,,80,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice,,0,,1,2
KARUR FOOD COURT,Egg Fried Rice,,70,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice,,0,,2,3
KARUR FOOD COURT,Veg Fried Rice,,60,,,,10,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice,,0,,3,4
KARUR FOOD COURT,Chicken Noodles,,80,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,,1,5
