restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
HOTEL KARUR ALAGAR,Chicken Biriyani ,,180,135,10-05-2021,10-05-2021,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,1,1
HOTEL KARUR ALAGAR,Nattukozhi Biriyani,,220,165,10-05-2021,10-05-2021,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,1,1
HOTEL KARUR ALAGAR,Chicken Chukka,,150,113,10-05-2021,10-05-2021,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,1
HOTEL KARUR ALAGAR,Chicken Fry,,160,120,10-05-2021,10-05-2021,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,1
HOTEL KARUR ALAGAR,Chicken 65,,150,113,10-05-2021,10-05-2021,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,1
HOTEL KARUR ALAGAR,Chicken Lollipop,,160,120,10-05-2021,10-05-2021,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,1
HOTEL KARUR ALAGAR,Nattukozhi Uppukari,,200,150,10-05-2021,10-05-2021,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,1
HOTEL KARUR ALAGAR,Nattukozhi Fry,,200,150,10-05-2021,10-05-2021,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,1
HOTEL KARUR ALAGAR,Mutton Chukka,,200,150,10-05-2021,10-05-2021,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,1
HOTEL KARUR ALAGAR,Mutton Fry,,200,150,10-05-2021,10-05-2021,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,1
HOTEL KARUR ALAGAR,Thalakari,,200,150,10-05-2021,10-05-2021,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,1
HOTEL KARUR ALAGAR,Kudal Fry,,150,113,10-05-2021,10-05-2021,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,1
HOTEL KARUR ALAGAR,Kaadai Roast,,140,105,10-05-2021,10-05-2021,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,1
HOTEL KARUR ALAGAR,Kaadai 65,,140,105,10-05-2021,10-05-2021,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,1
